no,record_key,label,series,date,year_start,year_end,maker,status,grade,holder,city,inventory,whereabouts_tier,record_url,bound_lower,bound_upper,versions,conflicts,open_questions,resolved_questions,sources,plate
11,icon-degheyn-v1,De Gheyn's first engraving (Westergaard 1377) — the 'overloaded' portrait,lifetime,"autumn 1590, Amsterdam",1590,1590,"Jacques de Gheyn II (Antwerp 1565 – The Hague 1629), signed in the plate; an independent Amsterdam engraver by 1588, previously trained in Goltzius's Haarlem workshop. No document names Goltzius anywhere in the commission — the old account that the commission 'went to Goltzius, who passed it to his pupil' is Beckett & Christensen's 1921 conjecture, built on premises (a dependent pupil; engravings of 1586) that are both refuted.",extant,A,"Statens Museum for Kunst, Den Kongelige Kobberstiksamling",Copenhagen,"KKS4530 (state I, no address); KKSgb7575 (state II, 'Marco Sadeler excudit')",located,https://open.smk.dk/artwork/image/KKS4530,autumn 1590,1 December 1590,0,1,0,0,S_ICON_LETTERS; S_ICON_CHRISTIANSON; S_ICON_DOSSIER_2026; S_BECKETT; S_ICON_NEWHOLLSTEIN,plates/icon-degheyn-v1.jpg
12,icon-drawing-kksgb5254,The Copenhagen pen drawing (SMK KKSgb5254) — the second engraving's production drawing,lifetime,c. 1591–1595,1591,1595,"Jacques de Gheyn II is the best-supported hand (the pen medium is his documented practice for portrait-print models — 'Goltzius never did' so, per Reznicek — and the sheet's idiom matches his secure Marnix model); a residual alternative is an unidentified copyist supplying the model. Tobias Gemperlin is excluded as draughtsman (dead by 1587, and no secure Gemperlin drawing exists to compare). The old Goltzius attribution is refuted for authorship (no Tycho in Reznicek's corpus, wrong medium, Goltzius in Italy from late 1590); its documentary trail is a pre-1890s common opinion — still the museum's displayed label in 1921 — revived by Mortensen 1946 on the strength of a verso mark first recorded that year (Mortensen: the name Goltzius; Altena/SMK: a red-chalk 'HG' monogram) and judged forged by both the museum and the de Gheyn catalogue.",extant,A,"Statens Museum for Kunst, Den Kongelige Kobberstiksamling",Copenhagen,KKSgb5254,located,https://open.smk.dk/artwork/image/KKSgb5254,after 7 December 1590,c. mid-1595,0,0,0,0,S_ICON_ALTENA; S_ICON_SMK; S_ICON_DOSSIER_2026; S_BECKETT; S_ICON_FRIIS; S_ICON_MORTENSEN1946,plates/icon-drawing-kksgb5254.jpg
13,icon-degheyn-v2,De Gheyn's second engraving (Westergaard 1394) — the corrected portrait,lifetime,ordered December 1590; design fixed by mid-1595; plate completed by 1596,1591,1596,"Jacques de Gheyn II, signed in the plate ('Geyn. fe').",extant,A,"Statens Museum for Kunst, Den Kongelige Kobberstiksamling",Copenhagen,KKSgb7084,located,https://open.smk.dk/artwork/image/KKSgb7084,7 December 1590 (ordered),mid-1595 (design attested in Tycho's hands via the Cornelisz copy); plate completion by end 1596 (Altena's outer bound),0,1,0,0,S_ICON_LETTERS; S_ICON_DOSSIER_2026; S_ICON_CHRISTIANSON; S_ICON_MORTENSEN1946; S_ICON_ALTENA; S_ICON_NEWHOLLSTEIN; S_ICON_NIELSEN430; S_ICON_RIJKSMUSEUM9945,plates/icon-degheyn-v2.jpg
14,icon-cornelisz-1595,Lambert Cornelisz's print (Westergaard 1409) — the copy Tycho disliked,lifetime,"1595, Amsterdam",1595,1595,"Lambert Cornelisz (Amsterdam engraver of portraits and title pages, active 1593–1621 per CERL cnp02079345, which records 'Cornely' among his attested name variants and de Gheyn II as his teacher); the reproduced untrimmed impression carries a legible 'L Corney … fecit'; Friis's 'Cornay' is a contemporary 1868 note on a Vienna impression published 1902, and Mortensen's 'Cornely' derives from Friis's reproduction of the signature-less Copenhagen exemplar, not an independent reading; made on the engraver's own initiative, not commissioned by Tycho.",extant,A,,,,edition multiple,,1595 (dated in the plate),5 September 1595 (in Tycho's hands),0,0,7,0,S_ICON_LETTERS; S_ICON_FRIIS; S_ICON_MORTENSEN1946; S_ICON_CHRISTIANSON; S_ICON_CERL; S_ICON_DOSSIER_2026,plates/icon-cornelisz-1595.jpg
15,icon-medal-1595,The 1595 portrait medal — the only likeness in metal,lifetime,1595 (dated on the medal),1595,1595,,extant,B,"Den kgl. Mønt- og Medaillesamling, Nationalmuseet",Copenhagen,,attested,,1595,1595,0,0,5,0,S_ICON_MORTENSEN1946; S_ICON_DREYER; S_ICON_DOSSIER_2026; S_ICON_FRIIS; S_ICON_FRIIS1871; S_ICON_DANSKEMAG1746; S_BECKETT; S_ICON_TBV2006,plates/icon-medal-1595.jpg
16,icon-standing-type,The aetatis-50 portrait (Skokloster / Edinburgh) — the exile likeness,lifetime,1597 (type; surviving canvases undated),1596,1597,,extant,B,Skoklosters slott (Statens historiska museer),"Håbo, Uppsala län, Sweden",11593_SKO,located,https://samlingar.shm.se/object/0522EA30-D4CA-4D65-B348-C68573F26127,14 December 1596,1597,7,6,8,0,S_ICON_MORTENSEN1946; S_ICON_RESEN1668; S_ICON_FRIIS; S_ICON_DREYER; S_ICON_TBV2006; S_ICON_DOSSIER_2026,plates/icon-standing-type.jpg
17,icon-mechanica-watercolours,The painted portraits in the finest Mechanica copies — Tycho between Ptolemy and Copernicus,lifetime,1598 – c. 1600,1598,1601,,extant,B,Det Kongelige Bibliotek,Copenhagen,"LN 432 2°, eks. 2",located,https://digitalesamlinger.kb.dk/books/boghis/2017/dec/tryk/object11914/da/,January 1598 (production of the Mechanica),24 October 1601,5,3,2,1,S_ICON_MORTENSEN1946; S_ICON_FRIIS; S_ICON_DOSSIER_2026; S_ICON_NORLIND1970; S_ICON_STUDNICKA1901; S_ICON_MORTENSEN1942,plates/icon-mechanica-watercolours.jpg
18,icon-teyn-epitaph,"The Týn church epitaph, Prague — the effigy that closes the series",lifetime,c. 1604 or some years after,1604,1604,,extant,B,Kostel Panny Marie před Týnem,"Staroměstské náměstí, Prague 1",,located,https://projekter.au.dk/en/tycho-brahe/reburial,"1604 (Kirstine's death — the only sourced terminus post quem for the erection; the 1601 burial dates the grave, not the monument)",after 1604 (no sourced completion date),1,1,0,0,S_ICON_MORTENSEN1946; S_ICON_FRIIS1871; S_ICON_NORLIND1970; S_ICON_STUDNICKA1901; S_ICON_TBV2006; S_ICON_RUNDETAARN1937; S_ICON_FBORG_A155; S_ICON_DOSSIER_2026,plates/icon-teyn-epitaph.jpg
19,icon-arms-supralibros,The Brahe coat-of-arms supralibros,programme,1588–1601,1588,1601,,extant,B,"Documented on the Strahov Mechanica (arms on the back, portrait on the front of the same volume)",Prague,,edition multiple,,,,0,1,0,0,S_ICON_NTBB1931; S_ICON_MORTENSEN; S_ICON_KLEINSCHNITZOVA1933; S_ICON_PRANDTL1932; S_ICON_NORLIND1970; S_ICON_TBOO9; S_ICON_TBV2006; S_ICON_VELLEV2017; S_ICON_MOSLEY; S_ICON_DOSSIER_ARMS2026; S_ICON_DANSKEMAG1746,plates/icon-arms-supralibros.jpg
20,icon-mechanica-author-portrait,The inserted author portrait in Epistolae and Mechanica copies,programme,1596–1598,1596,1598,,extant,B,,,,edition multiple,,,,0,0,0,0,S_ICON_GIGAS; S_ICON_NIELSEN1921; S_ICON_DOSSIER_2026,plates/icon-degheyn-v2.jpg
21,icon-gilt-quadrant,The small gilt brass quadrant — an iconographic instrument,programme,c. 1573,1573,1573,,lost,B,,,,untraced,,,,0,2,0,0,S_ICON_GILTQUAD; S_ICON_CHRISTIANSON; S_ICON_CHRISTIANSON2020; S_ICON_THOREN; S_ICON_TBOO; S_ICON_RESEN1668; S_ICON_SEGONDS1994; S_ICON_DREYER; S_ICON_CROSSROADS2002; S_ICON_DETMOLD; S_ICON_TBV2006,
22,icon-uraniborg-views,The printed views of Uraniborg and Stjerneborg,programme,1585–1598,1585,1598,,extant,A,Det Kongelige Bibliotek,Copenhagen,LN 432 2°,located,https://archive.org/details/den-kbd-pil-130018165806-001,,,0,3,0,0,S_ICON_CHRISTIANSON; S_BECKETT; S_ICON_NIELSEN1921; S_ICON_FRIIS; S_ICON_HORACEK2021,plates/icon-uraniborg-views.jpg
23,icon-posthumous-copies,The posthumous copies (1602 onward),afterlife,1602–1655,1602,1655,,extant,A,,,,edition multiple,,,,0,1,7,0,S_ICON_DOSSIER_2026; S_ICON_CHRISTIANSON; S_ICON_TBV2006; S_ICON_GATTEI2009; S_ICON_NEWHOLLSTEIN,
24,icon-gassendi-frontispiece,The Gassendi Vita frontispiece (1655) — the portrait's afterlife,afterlife,1654–1655,1654,1655,"Jacob van Meurs I (Amsterdam, c. 1619/20 – 1679), after Jacques de Gheyn II. The signature 'I.v.Meurs. Scul.' appears only in the state used in 1655; the 1654 state is unsigned, so the cutting — complete by 1654 — is attributed to van Meurs from the same-plate identity, while his signing of the 1655 state is documented.",extant,A,,,,edition multiple,https://www.rijksmuseum.nl/en/collection/RP-P-OB-23.512,,,0,0,0,0,S_ICON_GASSENDI; S_ICON_RIJKS_MEURS; S_ICON_VITA_1654,plates/icon-gassendi-frontispiece.jpg
25,icon-kageroed-epitaph,"The Kågeröd epitaph, 1613 — Tycho kneeling among his parents' children",afterlife,1613,1613,1613,"Unrecorded; the Tycho head repainted between 1862 and c. 1895 — by Magnus Petersen according to Mortensen 1946 (unfootnoted and uncorroborated; Petersen is documented at the epitaph only as recorder of its pre-restoration state, Nationalmuseet inv. 572 / DMR-193014, 1860).",extant,B,"Kågeröds kyrka (Kågeröd-Röstånga församling, Lunds stift)","Kågeröd, Svalöv kommun, Skåne, Sweden",Bebyggelseregistret anläggnings-ID 21300000008127 (church building; no object-level inventory number located; fastighet Svalöv Kågeröd 18:1),located,https://kulturarvsdata.se/raa/bbr/21300000008127,1613,1613,0,0,4,0,S_ICON_MORTENSEN1946; S_ICON_TBV2006; S_ICON_MARRYAT1862; S_ICON_SIMONSSON2015; S_ICON_DMR193014,
26,icon-blaeu-globes,Tycho's portrait on the celestial globes — a distribution channel begun in his lifetime,programme,"from 1594; Blaeu's Tychonic globes from 1597/98, portrait confirmed on extant specimens from 1603",1594,1630,"Jacob Floris van Langren and his sons Arnold (who cut the lettering) and Hendrik (the figures), per the globe's own imprint; then Willem Janszoon Blaeu (1571–1638).",extant,A,Historisches Museum Frankfurt,"Frankfurt am Main, Germany",HMF X 14609,located,https://www.deutsche-digitale-bibliothek.de/item/GFJOPVOKDRL7SACIADTAQJUDFOFEDQ4P,1594,"after 1630 (latest located specimen, Museo Galileo 348); terminal edition undetermined",0,1,5,0,S_ICON_MOSLEY; S_ICON_TBV2006; S_ICON_CHRISTIANSON; S_ICON_GLOBERECORDS; S_ICON_STEVENSON1921; S_ICON_DEKKERHOC3; S_ICON_DOSSIER_GLOBES2026,
27,icon-console-clock-1642,The 1642 console clock — Tycho as proprietor of a world system,afterlife,1623 or 1642 (both unfooted),1623,1642,"Unrecorded. The 2006 caption derives the Tycho figure from the Rudolphine Tables frontispiece (1627), without argument; the plates' Latin apparatus instead traces to Tycho's own publications (De mundi aetherei 1588; Epistolae astronomicae 1596), and a museum-affiliated inventory dates the object 1623, before the claimed model.",extant,B,"Nationalmuseet, Danmarks Middelalder og Renæssance",Copenhagen,D138,located,https://samlinger.natmus.dk/dmr/asset/168045,1596,1642,0,0,0,0,S_ICON_TBV2006; S_ICON_DOSSIER_2026; S_ICON_EPISTOLAE_1596; S_ICON_GATTEI2009; S_ICON_FROMBORK; S_ICON_DEMUNDI_1588; S_ICON_MECHANICA,
28,icon-hansen-1882,"Heinrich Hansen, 1882 — Tycho as national history painting",afterlife,1882,1882,1882,"Heinrich Hansen (1821–1890), architectural painter.",extant,A,Det Nationalhistoriske Museum på Frederiksborg,"Hillerød, Denmark",A 153,located,https://frederiksborg.dk/kunstvaerk/tyge-brahes-gaard-uranienborg-paa-hven/,1882,1882,0,0,0,0,S_ICON_TBV2006; S_ICON_ELLER1978; S_ICON_DOSSIER_2026,
29,icon-eckersberg-1831,"Eckersberg's sketch, 1831 — the young Christian IV visiting Hven",afterlife,"1831 or later, by 1842",1831,1842,C. W. Eckersberg.,untraced,C,Det Nationalhistoriske Museum på Frederiksborg (attested only),"Hillerød, Denmark",,attested,,1831,1842,0,0,5,0,S_ICON_TBV2006; S_ICON_HANNOVER1898; S_ICON_SMK_ECKERSBERG; S_ICON_FREDERIKSBORG_CAT,
30,icon-levy-mindeblad,The Levy memorial sheet — Tycho for children,afterlife,undated; 'måske 1901?',1855,1901,"Published by A. Levy, Copenhagen — the sheet itself is imprinted 'Forlagt af A. Levy.' (two independent 600-dpi readings of the 2006 reproduction; 'Levison' is incompatible with the glyphs), but the firm is untraced in every reached Danish trade source: the name rests on the image alone.",untraced,C,"Nationalmuseet, Antikvarisk-Topografisk Arkiv (ATA)",Copenhagen,,attested,,c. 1855,1901,0,0,5,0,S_ICON_TBV2006; S_ICON_MORTENSEN1946; S_ICON_ODS; S_ICON_DOSSIER_2026,
31,icon-progymnasmata-watercolour,The full-figure watercolour at Strahov — the standing Tycho with a sextant,afterlife,c. 1598 – 1666; the drawing's date is open,1598,1666,"Unknown. Friis raises the possibility that it is by Philip Kilian, which would make it seventeenth-century and no witness to Tycho at all — 'Hvem Tegningen skyldes, vides ikke; maaske er den af Kilian.'",untraced,C,"Strahovská knihovna, Královská kanonie premonstrátů na Strahově","Prague, Czech Republic",,attested,,c. 1598,1666,0,2,4,0,S_ICON_FRIIS; S_ICON_VJS1881; S_ICON_TBV2006; S_ICON_DREYER; S_ICON_DOSSIER_2026; S_ICON_STUDNICKA1901; S_ICON_BOLDAN2024; S_ICON_MEDDELELSER2006,plates/icon-progymnasmata-watercolour.jpg
32,icon-kilian-standing,Kilian's standing Tycho (1666) — a whole body invented around a borrowed head,afterlife,engraved after July 1658; published 1666,1658,1666,"Philip Kilian (Augsburg, 1628–1693, son of Wolfgang Kilian), signed at the foot of the pedestal 'Philip Kilian sculps.'",extant,A,Wellcome Collection,London,1357i (Miro V0000748),located,https://wellcomecollection.org/works/hyw5chqz,18 July 1658,1666,0,2,6,0,S_ICON_FRIIS; S_ICON_DREYER; S_ICON_MORTENSEN1946; S_ICON_VJS1881; S_ICON_STUDNICKA1901; S_ICON_NORLIND1970; S_ICON_PRANDTL1932,plates/icon-kilian-standing.jpg
